promo_id,archivo_origen,mes_carpeta,patron_detectado,fecha_texto,contexto
9508,Promociones\AGOSTO\9508_Compras y max - Hasta 70_ de desc en Seguridad y Mtto Agosto 24.doc,AGOSTO,dd-dd mes yyyy,5-31 AGOSTO,SKU | DESCRIPCION | PROMO | VIGENCIA 50128447 | CONO DE PRECAUCION RETRACTIL | 50% | 5-31 AGOSTO 50032788 | LLAVERO IDENTIFICADOR 4PZS | 50% | 5-31 AGOSTO 50112845 | FGV PR-P12769 R
9508,Promociones\AGOSTO\9508_Compras y max - Hasta 70_ de desc en Seguridad y Mtto Agosto 24.doc,AGOSTO,vigencia,vigencia hasta el 31 de agosto 2024,omparto listado de descuentos para el departamento de Seguridad y Mantenimiento. Con vigencia hasta el 31 de agosto 2024. Vigencia: 05 AL 31 DE AGOSTO 2024 Exhibición: Colocar stopper de descuento correspo
9508,Promociones\AGOSTO\9508_Compras y max - Hasta 70_ de desc en Seguridad y Mtto Agosto 24.doc,AGOSTO,vigencia,Vigencia: 05 AL 31 DE AGOSTO 2024,departamento de Seguridad y Mantenimiento. Con vigencia hasta el 31 de agosto 2024. Vigencia: 05 AL 31 DE AGOSTO 2024 Exhibición: Colocar stopper de descuento correspondiente. Cualquier duda o comentari
9508,Promociones\AGOSTO\9508_Compras y max - Hasta 70_ de desc en Seguridad y Mtto Agosto 24.doc,AGOSTO,vigencia,VIGENCIA 50128447 | CONO DE PRECAUCION RETRACTIL | 50% | 5-31 AGOSTO 5003,URIDAD Y MANTENIMIENTO | SEGURIDAD Y MANTENIMIENTO | | | SKU | DESCRIPCION | PROMO | VIGENCIA 50128447 | CONO DE PRECAUCION RETRACTIL | 50% | 5-31 AGOSTO 50032788 | LLAVERO IDENTIFICADOR 4PZS | 50% | 5-31 AGOSTO 50112845 | FGV PR-P12769 RUPERT
9508,Promociones\AGOSTO\9508_Compras y max - Hasta 70_ de desc en Seguridad y Mtto Agosto 24.doc,AGOSTO,hasta el,hasta el 31 de agosto,istado de descuentos para el departamento de Seguridad y Mantenimiento. Con vigencia hasta el 31 de agosto 2024. Vigencia: 05 AL 31 DE AGOSTO 2024 Exhibición: Colocar stopper de descuento cor
9509,Promociones\AGOSTO\9509_Compras y max - ACTUALIZACIÓN PRECIO CORDON PARA GAFETE.doc,AGOSTO,dd/mm/yyyy,02/08/2024,"Gerencias, Comparto actualización de precio de venta: Vigencia a partir del viernes 02/08/2024 y hasta nuevo aviso. Cualquier duda favor de comunicarse a los siguientes contactos"
9509,Promociones\AGOSTO\9509_Compras y max - ACTUALIZACIÓN PRECIO CORDON PARA GAFETE.doc,AGOSTO,vigencia,Vigencia a partir del viernes 02/08/2024,"CORDON PARA GAFETE Buena tarde Gerencias, Comparto actualización de precio de venta: Vigencia a partir del viernes 02/08/2024 y hasta nuevo aviso. Cualquier duda favor de comunicarse a los siguientes contactos"
9514,Promociones\AGOSTO\9514_Compras y max - PROCESO PERECEDEROS CHECKOUT OPMX.doc,AGOSTO,dd/mm/yyyy,21/08/2024,IDAD | CADUCIDAD 50121455 | TAKIS FUEGO 70 GR | COMERCIALIZADORA DE PRODUCTOS | 26 | 21/08/2024
9514,Promociones\AGOSTO\9514_Compras y max - PROCESO PERECEDEROS CHECKOUT OPMX.doc,AGOSTO,vigencia,vigencia no mayor a 15 días,categoría de checkout 1.-Identificar artículos que estén próximos a caducar con una vigencia no mayor a 15 días. 2.- Se debe notificar al área de compras a los correos monica.gazca@officemax.com.m
9515,Promociones\AGOSTO\9515_Compras y max - ACTUALIZACIÓN PRECIOS SUMINISTROS OFICINA.doc,AGOSTO,dd/mm/yyyy,08/08/2024,"erencias, Comparto actualizaciones de precios de venta: Vigencia a partir del jueves 08/08/2024 y hasta nuevo aviso. Cualquier duda favor de comunicarse a los siguientes contactos"
9515,Promociones\AGOSTO\9515_Compras y max - ACTUALIZACIÓN PRECIOS SUMINISTROS OFICINA.doc,AGOSTO,vigencia,Vigencia a partir del jueves 08/08/2024,"NISTROS OFICINA Buena tarde Gerencias, Comparto actualizaciones de precios de venta: Vigencia a partir del jueves 08/08/2024 y hasta nuevo aviso. Cualquier duda favor de comunicarse a los siguientes contactos"
9516,Promociones\AGOSTO\9516_HASTA 50_ DE DESCUENTO EN MUEBLES SELECCIONADOS- MECANICA 14133.doc,AGOSTO,dd al dd mes yyyy,12 AL 31 DE AGOSTO 2024,"HASTA 50% DE DESCUENTO EN MUEBLES SELECCIONADOS Buen día Gerencias, Vigencia: 12 AL 31 DE AGOSTO 2024 Exhibición: Exhibir el producto con su respectivo stopper. Productos participantes:"
9516,Promociones\AGOSTO\9516_HASTA 50_ DE DESCUENTO EN MUEBLES SELECCIONADOS- MECANICA 14133.doc,AGOSTO,vigencia,Vigencia: 12 AL 31 DE AGOSTO 2024,"HASTA 50% DE DESCUENTO EN MUEBLES SELECCIONADOS Buen día Gerencias, Vigencia: 12 AL 31 DE AGOSTO 2024 Exhibición: Exhibir el producto con su respectivo stopper. Productos participantes:"
9517,Promociones\AGOSTO\9517_HASTA 50_ DE DESCUENTO EN LIBROS SELECCIONADOS- MECANICA 14134.doc,AGOSTO,dd al dd mes yyyy,12 AL 31 DE AGOSTO 2024,"HASTA 50% DE DESCUENTO EN LIBROS SELECCIONADOS Buen día Gerencias, Vigencia: 12 AL 31 DE AGOSTO 2024 Exhibición: Exhibir el producto con su respectivo stopper. Productos participantes:"
9517,Promociones\AGOSTO\9517_HASTA 50_ DE DESCUENTO EN LIBROS SELECCIONADOS- MECANICA 14134.doc,AGOSTO,vigencia,Vigencia: 12 AL 31 DE AGOSTO 2024,"HASTA 50% DE DESCUENTO EN LIBROS SELECCIONADOS Buen día Gerencias, Vigencia: 12 AL 31 DE AGOSTO 2024 Exhibición: Exhibir el producto con su respectivo stopper. Productos participantes:"
9518,Promociones\AGOSTO\9518_Compras y max - 20_ ENERGIZER.doc,AGOSTO,dd al dd mes yyyy,8 AL 18 DE AGOSTO,DESCRIPCION | DESCUENTO | VIGENCIA 50025466 | PILA AA ENERGIZER MAX C/4 | 20% | DEL 8 AL 18 DE AGOSTO 50025499 | PILA AAA ENERGIZER MAX C/4 | 20% | DEL 8 AL 18 DE AGOSTO 50025471 | PILA
9518,Promociones\AGOSTO\9518_Compras y max - 20_ ENERGIZER.doc,AGOSTO,del X al Y mismo mes,DEL 8 AL 18 DE AGOSTO,KU | DESCRIPCION | DESCUENTO | VIGENCIA 50025466 | PILA AA ENERGIZER MAX C/4 | 20% | DEL 8 AL 18 DE AGOSTO 50025499 | PILA AAA ENERGIZER MAX C/4 | 20% | DEL 8 AL 18 DE AGOSTO 50025471 | PILA
9518,Promociones\AGOSTO\9518_Compras y max - 20_ ENERGIZER.doc,AGOSTO,vigencia,VIGENCIA 50025466 | PILA AA ENERGIZER MAX C/4 | 20% | DEL 8 AL 18 DE AGOSTO 5002,lfonso.hernandez@officemax.com.mx | Mecánica | 14160 SKU | DESCRIPCION | DESCUENTO | VIGENCIA 50025466 | PILA AA ENERGIZER MAX C/4 | 20% | DEL 8 AL 18 DE AGOSTO 50025499 | PILA AAA ENERGIZER MAX C/4 | 20% | DEL 8 AL 18 DE AGOSTO 50025471 | PILA 9V EN
9521,Promociones\AGOSTO\9521_COMPRAS Y MAX - CAMBIOS DE PRECIO TECNOLOGÍA 09.08.24.doc,AGOSTO,dd.mm.yy,09.08.24,"CAMBIOS DE PRECIO TECNOLOGÍA 09.08.24 Buena tarde Gerencias, Por este medio les hacemos el recordatorio que la laptop Asus"
9521,Promociones\AGOSTO\9521_COMPRAS Y MAX - CAMBIOS DE PRECIO TECNOLOGÍA 09.08.24.doc,AGOSTO,dd al dd mes yyyy,15 al 19 de agosto,"s en la mecánica 14035 el bono sólo se modificó para carrito y bolsa, por lo que del 15 al 19 de agosto volverá a estar en $4,999 sin embargo fuera de esa fecha se mantiene activa la mecán"
9521,Promociones\AGOSTO\9521_COMPRAS Y MAX - CAMBIOS DE PRECIO TECNOLOGÍA 09.08.24.doc,AGOSTO,del X al Y mismo mes,del 15 al 19 de agosto,"ncias en la mecánica 14035 el bono sólo se modificó para carrito y bolsa, por lo que del 15 al 19 de agosto volverá a estar en $4,999 sin embargo fuera de esa fecha se mantiene activa la mecán"
9524,Promociones\AGOSTO\9524_ACTUALIZACIÓN PRECIOS SUMINISTROS OFICINA V2AGO.doc,AGOSTO,dd/mm/yyyy,10/08/2024,"erencias, Comparto actualizaciones de precios de venta: Vigencia a partir del sábado 10/08/2024 y hasta nuevo aviso. Cualquier duda favor de comunicarse a los siguientes contactos"
9524,Promociones\AGOSTO\9524_ACTUALIZACIÓN PRECIOS SUMINISTROS OFICINA V2AGO.doc,AGOSTO,vigencia,Vigencia a partir del sábado 10/08/2024,"NISTROS OFICINA Buena tarde Gerencias, Comparto actualizaciones de precios de venta: Vigencia a partir del sábado 10/08/2024 y hasta nuevo aviso. Cualquier duda favor de comunicarse a los siguientes contactos"
9526,Promociones\AGOSTO\9526_COMPRAS Y MAX - MODIFICACION DE MECANICAS TECNOLOGÍA 13.08.24.doc,AGOSTO,dd.mm.yy,13.08.24,"MODIFICACION DE MECANICAS TECNOLOGÍA 13.08.24 Buena tarde Gerencias, Por este medio les informo que la mecánica 14035 se modificó"
9527,Promociones\AGOSTO\9527_Compras y Max - BOLSA 2024.docx,AGOSTO,dd al dd mes yyyy,15 al 18 de agosto de 2024,PROMOCIÓN BOLSA Los próximos días del 15 al 18 de agosto de 2024 se llevará a cabo nuestra segunda promoción institucional: “Bolsa- HASTA UN 40% DE D
9527,Promociones\AGOSTO\9527_Compras y Max - BOLSA 2024.docx,AGOSTO,dd al dd mes yyyy,15 AL 18 AGOSTO 2024,1 JULIO al 31 AGOSTO 2024 14167 - HASTA UN 40% DE DESCUENTO EN PRODUCTOS ESCOLARES | 15 AL 18 AGOSTO 2024 14157 - HASTA 30% EN PRODUCTOS 3M SELECCIONADOS | 7 AL 21 AGOSTO 2024 14135-3X2 EN R
9527,Promociones\AGOSTO\9527_Compras y Max - BOLSA 2024.docx,AGOSTO,dd al dd mes yyyy,7 AL 21 AGOSTO 2024,S ESCOLARES | 15 AL 18 AGOSTO 2024 14157 - HASTA 30% EN PRODUCTOS 3M SELECCIONADOS | 7 AL 21 AGOSTO 2024 14135-3X2 EN RESMA OFFICE PAPER TAMAÑO CARTA | 02 AL 31 AGOSTO
9527,Promociones\AGOSTO\9527_Compras y Max - BOLSA 2024.docx,AGOSTO,dd al dd mes yyyy,02 AL 31 AGOSTO,M SELECCIONADOS | 7 AL 21 AGOSTO 2024 14135-3X2 EN RESMA OFFICE PAPER TAMAÑO CARTA | 02 AL 31 AGOSTO
9527,Promociones\AGOSTO\9527_Compras y Max - BOLSA 2024.docx,AGOSTO,del X al Y mismo mes,del 15 al 18 de agosto de 2024,PROMOCIÓN BOLSA Los próximos días del 15 al 18 de agosto de 2024 se llevará a cabo nuestra segunda promoción institucional: “Bolsa- HASTA UN 40% DE D
9527,Promociones\AGOSTO\9527_Compras y Max - BOLSA 2024.docx,AGOSTO,vigencia,"Vigencia 14043-03, 06, 09, 12 y 13","os clientes y para nosotros mismos! Gracias por su esfuerzo y dedicación. Mecánica | Vigencia 14043-03, 06, 09, 12 y 13 MSI – BTS 2024 | 01 JULIO al 31 AGOSTO 2024 14167 - HASTA UN 40% DE DESCUENTO EN PRO"
9528,"Promociones\AGOSTO\9528_ESCRITORIO ESTUDIANTIL DRESDE DE $2,699 A $1,599- MECANICA 14164.doc",AGOSTO,dd al dd mes yyyy,16 AL 31 DE AGOSTO 2024,"ESCRITORIO ESTUDIANTIL DRESDE DE $2,699 A $1,599 Buen día Gerencias, Vigencia: 16 AL 31 DE AGOSTO 2024 Exhibición: Exhibir el producto con su respectivo stopper “DE: $, A: $” Productos pa"
9528,"Promociones\AGOSTO\9528_ESCRITORIO ESTUDIANTIL DRESDE DE $2,699 A $1,599- MECANICA 14164.doc",AGOSTO,vigencia,Vigencia: 16 AL 31 DE AGOSTO 2024,"ESCRITORIO ESTUDIANTIL DRESDE DE $2,699 A $1,599 Buen día Gerencias, Vigencia: 16 AL 31 DE AGOSTO 2024 Exhibición: Exhibir el producto con su respectivo stopper “DE: $, A: $” Productos pa"
9529,"Promociones\AGOSTO\9529_ESCRITORIO ESTUDIANTIL DUBLIN DE, A - 14165.doc",AGOSTO,dd al dd mes yyyy,16 AL 31 DE AGOSTO 2024,"ESCRITORIO ESTUDIANTIL DUBLIN DE $2,699 A $1,599 Buen día Gerencias, Vigencia: 16 AL 31 DE AGOSTO 2024 Exhibición: Exhibir el producto con su respectivo stopper “DE: $, A:$” Productos par"
9529,"Promociones\AGOSTO\9529_ESCRITORIO ESTUDIANTIL DUBLIN DE, A - 14165.doc",AGOSTO,vigencia,Vigencia: 16 AL 31 DE AGOSTO 2024,"ESCRITORIO ESTUDIANTIL DUBLIN DE $2,699 A $1,599 Buen día Gerencias, Vigencia: 16 AL 31 DE AGOSTO 2024 Exhibición: Exhibir el producto con su respectivo stopper “DE: $, A:$” Productos par"
9530,Promociones\AGOSTO\9530_HASTA 50_ DE DESCUENTO EN MUEBLES SELECCIONADOS- MECANICA 14133- ACTUALIZADO 14.08.24 (1).doc,AGOSTO,dd al dd mes yyyy,12 AL 31 DE AGOSTO 2024,"50% DE DESCUENTO EN MUEBLES SELECCIONADOS- ACTUALIZADO Buen día Gerencias, Vigencia: 12 AL 31 DE AGOSTO 2024 Exhibición: Exhibir el producto con su respectivo stopper. Productos participantes:"
9530,Promociones\AGOSTO\9530_HASTA 50_ DE DESCUENTO EN MUEBLES SELECCIONADOS- MECANICA 14133- ACTUALIZADO 14.08.24 (1).doc,AGOSTO,vigencia,Vigencia: 12 AL 31 DE AGOSTO 2024,"HASTA 50% DE DESCUENTO EN MUEBLES SELECCIONADOS- ACTUALIZADO Buen día Gerencias, Vigencia: 12 AL 31 DE AGOSTO 2024 Exhibición: Exhibir el producto con su respectivo stopper. Productos participantes:"
9531,Promociones\AGOSTO\9531_Compras y max - ACTUALIZACION DE DESCUENTOS MG 14082024-.doc,AGOSTO,dd-dd mes yyyy,16-31 AGOSTO,ESCRIPCION | ACCIÓN | VIGENCIA 501249681 | LETRERO MOVIL COLGANTE BABYSHOWER | 30% | 16-31 AGOSTO 501248431 | GLOBO MET HAPPY BDAY 56IN | 30% | 16-31 AGOSTO 501283981 | GLOBO MET SAT
9531,Promociones\AGOSTO\9531_Compras y max - ACTUALIZACION DE DESCUENTOS MG 14082024-.doc,AGOSTO,vigencia,vigencia hasta el 31 de agosto 2024,"departamentos de CHECKOUT, SEGURIDAD Y MANTENIMIENTO Y ACCESORIOS DE ESCRITORIO. Con vigencia hasta el 31 de agosto 2024. Resaltando en verde los artículos nuevos que se agregaron a este listado y que se l"
9531,Promociones\AGOSTO\9531_Compras y max - ACTUALIZACION DE DESCUENTOS MG 14082024-.doc,AGOSTO,vigencia,vigencia. Así mismo hacer énfasis en que se actualizo la vigencia hasta el 31 de agosto,e los artículos nuevos que se agregaron a este listado y que se le hizo un ajuste de vigencia. Así mismo hacer énfasis en que se actualizo la vigencia hasta el 31 de agosto de todos los artículos de checkout. Vigencia: AL 31 DE AGOSTO 2024 Exhibición: Coloc
9531,Promociones\AGOSTO\9531_Compras y max - ACTUALIZACION DE DESCUENTOS MG 14082024-.doc,AGOSTO,vigencia,Vigencia: AL 31 DE AGOSTO 2024,e se actualizo la vigencia hasta el 31 de agosto de todos los artículos de checkout. Vigencia: AL 31 DE AGOSTO 2024 Exhibición: Colocar stopper de descuento correspondiente. Cualquier duda o comentari
9531,Promociones\AGOSTO\9531_Compras y max - ACTUALIZACION DE DESCUENTOS MG 14082024-.doc,AGOSTO,vigencia,VIGENCIA 501249681 | LETRERO MOVIL COLGANTE BABYSHOWER | 30% | 16-31 AGOSTO 5012,".com.mx | Mecánica | 14143, 14141, 14142 | CHECKOUT | | SKU | DESCRIPCION | ACCIÓN | VIGENCIA 501249681 | LETRERO MOVIL COLGANTE BABYSHOWER | 30% | 16-31 AGOSTO 501248431 | GLOBO MET HAPPY BDAY 56IN | 30% | 16-31 AGOSTO 501283981 | GLOBO MET SATINADO"
9531,Promociones\AGOSTO\9531_Compras y max - ACTUALIZACION DE DESCUENTOS MG 14082024-.doc,AGOSTO,hasta el,hasta el 31 de agosto,"ntos de CHECKOUT, SEGURIDAD Y MANTENIMIENTO Y ACCESORIOS DE ESCRITORIO. Con vigencia hasta el 31 de agosto 2024. Resaltando en verde los artículos nuevos que se agregaron a este listado y que"
9534,"Promociones\AGOSTO\9534_Compras y max - -30_ PASTILLAS LEONE, (1).doc",AGOSTO,dd-dd mes yyyy,6-31 Agosto,IPCION | DESCUENTO | VIGENCIA 50123884 | PASTILLAS SABOR MANDARINA 27G LEONE | 30% | 6-31 Agosto 50123885 | PASTILLAS SABOR LIMON 27G LEONE | 30% | 6-31 Agosto 50123886 | PASTILLAS
9534,"Promociones\AGOSTO\9534_Compras y max - -30_ PASTILLAS LEONE, (1).doc",AGOSTO,vigencia,VIGENCIA 50123884 | PASTILLAS SABOR MANDARINA 27G LEONE | 30% | 6-31 Agosto 5012,lfonso.hernandez@officemax.com.mx | Mecánica | 14169 SKU | DESCRIPCION | DESCUENTO | VIGENCIA 50123884 | PASTILLAS SABOR MANDARINA 27G LEONE | 30% | 6-31 Agosto 50123885 | PASTILLAS SABOR LIMON 27G LEONE | 30% | 6-31 Agosto 50123886 | PASTILLAS SABOR
9535,Promociones\AGOSTO\9535_Compras y max - PORTALETREROS DE ACRILICO 30_.doc,AGOSTO,dd-dd mes yyyy,17-31 AGO,SCRIPCION | DESCUENTO | VIGENCIA 50125370 | PORTALETRERO ACRILICO DE 6 LADOS | 30% | 17-31 AGO 50125371 | PORTALETRERO ACRILICO DE 3 LADOS | 30% | 17-31 AGO
9535,Promociones\AGOSTO\9535_Compras y max - PORTALETREROS DE ACRILICO 30_.doc,AGOSTO,vigencia,VIGENCIA 50125370 | PORTALETRERO ACRILICO DE 6 LADOS,articipantes: | Todas Resurtido | | Mecánica | 14173 SKU | DESCRIPCION | DESCUENTO | VIGENCIA 50125370 | PORTALETRERO ACRILICO DE 6 LADOS | 30% | 17-31 AGO 50125371 | PORTALETRERO ACRILICO DE 3 LADOS | 30% | 17-31 AGO
9536,Promociones\AGOSTO\9536_COMPRAS Y MAX - CAMBIOS DE PRECIO TECNOLOGÍA 16.08.24.docx,AGOSTO,dd/mm/yyyy,17/08/2024,visar y realizar la señalización de forma correcta. Nota: Vigencia a partir del día: 17/08/2024 Anexo lista: Cualquier duda favor de comunicarse a los siguientes contactos del área
9536,Promociones\AGOSTO\9536_COMPRAS Y MAX - CAMBIOS DE PRECIO TECNOLOGÍA 16.08.24.docx,AGOSTO,dd.mm.yy,16.08.24,"CAMBIOS DE PRECIO TECNOLOGÍA 16.08.24 Buena tarde Gerencias, Por este medio hacemos de su conocimiento que se realizaron a"
9536,Promociones\AGOSTO\9536_COMPRAS Y MAX - CAMBIOS DE PRECIO TECNOLOGÍA 16.08.24.docx,AGOSTO,vigencia,Vigencia a partir del día: 17/08/2024,"consumibles HP, favor de revisar y realizar la señalización de forma correcta. Nota: Vigencia a partir del día: 17/08/2024 Anexo lista: Cualquier duda favor de comunicarse a los siguientes contactos del área"
9538,Promociones\AGOSTO\9538_HASTA 50_ DE DESCUENTO EN MUEBLES SELECCIONADOS- MECANICA 14133- ACTUALIZADO 16.08.24.doc,AGOSTO,dd al dd mes yyyy,12 AL 31 DE AGOSTO 2024,"50% DE DESCUENTO EN MUEBLES SELECCIONADOS- ACTUALIZADO Buen día Gerencias, Vigencia: 12 AL 31 DE AGOSTO 2024 Exhibición: Exhibir el producto con su respectivo stopper. Productos participantes:"
9538,Promociones\AGOSTO\9538_HASTA 50_ DE DESCUENTO EN MUEBLES SELECCIONADOS- MECANICA 14133- ACTUALIZADO 16.08.24.doc,AGOSTO,vigencia,Vigencia: 12 AL 31 DE AGOSTO 2024,"HASTA 50% DE DESCUENTO EN MUEBLES SELECCIONADOS- ACTUALIZADO Buen día Gerencias, Vigencia: 12 AL 31 DE AGOSTO 2024 Exhibición: Exhibir el producto con su respectivo stopper. Productos participantes:"
9541,Promociones\AGOSTO\9541_Promociones PAPELERIA_Agosto 2024.doc,AGOSTO,dd al dd mes yyyy,20 al 31 Agosto 2024,ica | Vigencia 14174 - PRODUCTO ADOPTADO PAPELERIA - 30% EN LIBRETAS SELECCIONADAS | 20 al 31 Agosto 2024 14175 - 30% EN FORROS BEST | 20 al 25 Agosto 2024 14176 - HASTA 30% EN PRODUCTOS CHE
9541,Promociones\AGOSTO\9541_Promociones PAPELERIA_Agosto 2024.doc,AGOSTO,dd al dd mes yyyy,20 al 25 Agosto 2024,- 30% EN LIBRETAS SELECCIONADAS | 20 al 31 Agosto 2024 14175 - 30% EN FORROS BEST | 20 al 25 Agosto 2024 14176 - HASTA 30% EN PRODUCTOS CHENSON SELECCIONADOS | 20 al 25 Agosto 2024 14177 -
9541,Promociones\AGOSTO\9541_Promociones PAPELERIA_Agosto 2024.doc,AGOSTO,dd al dd mes yyyy,21 al 26 Agsoto 2024,Agosto al 15 Septiembre 2024 14185 - HASTA 30% EN PRODUCTOS PELIKAN SELECCIONADOS | 21 al 26 Agsoto 2024
9541,Promociones\AGOSTO\9541_Promociones PAPELERIA_Agosto 2024.doc,AGOSTO,vigencia,Vigencia 14174 - PRODUCTO ADOPTADO PAPELERIA - 30% EN LIBRETAS SELECCIONADAS | 20 al 31 Agosto 2024,max.com.mx anel.peralta@officemax.com.mx | Tiendas Participantes: | Todas Mecánica | Vigencia 14174 - PRODUCTO ADOPTADO PAPELERIA - 30% EN LIBRETAS SELECCIONADAS | 20 al 31 Agosto 2024 14175 - 30% EN FORROS BEST | 20 al 25 Agosto 2024 14176 - HASTA 30% EN PRODUCTOS CHE
