prod_nbr,prod_nm,dept_cd,apparent_unit_cost
50131814,BOLI PAPER INKJOY GEL METAL 0.8MM,10,243.7409811
50131817,BOLI PAPER INKJOY GEL NEGRO 0.7MM,10,284.8768611
50131821,PAPER COL DOB Y UNI PUN 48 COL 36 PZS,10,307.965
50131822,PAPER COL DOB Y UNI PUN 36 COL 24 PZS,10,214.872
50131824,PAPER COL DOB Y UNI PUN 18 COL 15 PZS,10,123.543
50131825,PAPER COL UNIPUNTA REDONDA 12 PZS,10,41.391
50131826,PAPER COL  UNIPUNTA REDONDA 24 PZS,10,80.262
50131827,PAPER COL  DOBLE PUN HEXL 24 COL 12  PZS,10,47.607
50131828,PAPER COL  PEQ UNIPUNTA  REDONDA 12 P,10,19.026
50131829,BOLI SHARPIE S-GEL FASH COLORES 0.7MM,10,307.5380782
50131830,BOLI SHARPIE S-GEL RICH DARK 0.7MM,10,306.0908372
50131831,MARC PERMANENTE SHARPIE TANK NEG 0.8MM,10,217.728
50131832,MARC PERMANENTE SHARPIE TANK AZU 0.8MM,10,213.444
50131836,MARC SHARPIE ULTIMATE 45CT 0.8MM,10,990.0481111
50131837,MARC SHARPIE ACRYLICS 5CT 0.8MM,10,209.9430604
50131838,MARC SHARPIE ACRYLICS EARTH 5CT,10,228.2547826
50131839,MARC SHARPIE ACRYLICS NATU 12CT,10,525
50131840,BOLI PARKER WRIT BLUE ROLLER 0.7MM,10,1127.868
50131841,"""COM PARKER 2 BOLIGRAFOS 0.7MM NEGRO",10,2214.616833
50131859,TERMO DOBLE PARED STITCH 500 ML,10,228.9
50131860,TERMO DOBLE PARED KUROMI 500 ML,10,228.9
50131861,TERMO DOBLE PARED SNOOPY 500 ML CON ASA,10,241.5
50131862,TERMO DOBLE PARED STITCH 500 ML,10,241.5
50131886,BOTELLA C TAPA REDONDA STITCH ANDROMEDA,10,60.9
50131887,HERMETICO LUNCH BOX STITCH ANDROMEDA,10,102.9
50131890,LONCHERA NEGRA TRUZT RUZ,10,443.1
50131891,MOCHILA HARRYPOTTER ROJA TRUZT RUZ,10,905.1
50131892,MOCHILA KUROMI NEGRO TRUTZ RUZ,10,636.1536
50131893,MOCHILA HELLO KITTY AZUL TRUTZ RUZ,10,789.5333517
50131894,LONCHERA HELLO KITTY AZUL LUNARES RUZ,10,509.8541949
50131895,LAPICERA HELLO KITTY LUNARES RUZ,10,388.5
50131896,MOCHILA KUROMI MORADO ESTRELLA RUZ,10,632.1
50131897,LONCHERA KUROMI ESTRELLA RUZ,10,443.1
50131898,LAPICERA KUROMI ESTRELLA RUZ,10,252
50131899,LONCHERA ONIX CORAZON RUZ,10,503.1796
50131900,LAPICERA ONIX CORAZON RUZ,10,359.9968077
50131901,MOCHILA ONIX C RUEDAS AZUL RUZ,10,1349.97675
50131902,MOCHILA LILA ONIX AMIGOS RUZ,10,709.0091186
50131903,LONCHERA LILA ONIX AMIGOS RUZ,10,491.9031111
50131904,LAPICERA LILA ONIX AMIGOS RUZ,10,347.0511852
50131905,MOCHILA RUZ MIS PASTELITOS ESHPESHIAL,10,905.1
50131906,LONCHERA PASTELITOS FLOR ROSA RUZ,10,632.1
50131907,LAPICERA PASTELITOS FLOR ROSA RUZ,10,291.8410435
50131908,MOCHILA STITCH AZUL OREJAS RUZ,10,632.1
50131909,LONCHERA STITCH AZUL OREJAS RUZ,10,443.1
50131910,MOCHILA STITCH HAWAI RUZ,10,858.9
50131911,LONCHERA STITCH HAWAI RUZ,10,541.8
50131912,LAPICERA STITCH HAWAI RUZ,10,388.5
50131913,MOCHILA FROZEN COPOS RUZ,10,572.0933077
50131914,LONCHERA FROZEN COPOS RUZ,10,541.8
50131915,LAPICERA FROZEN TRIPLE COMPART COPOS RUZ,10,331.1872638
50131916,LAPICERA FORZEN DOBLE COMPART COPOS RUZ,10,252
50131917,MOCHILA CARS ROJA PITS RUZ,10,905.1
50131918,LONCHERA CARS ROJA PITS RUZ,10,588
50131919,LAPICERA CARS PITS ROJA RUZ,10,315
50131920,MOCHILA SPIDEY AMIGOSAZUL RUZ,10,715.0278333
50131921,LONCHERA SPIDEY AMIGOS AZ AM RUZ,10,541.8
50131922,LAPICERA SPIDEY AMIGOS DOBL COMPART RUZ,10,361.2
50131923,LAPICERA TRIPLE COMP HARRPOTTER BEIG RUZ,10,388.5
50131924,MOCHILA SONIC SHADOW AZ NGR RUZ,10,806.21275
50131925,LONCHERA SONIC SHADOW NGR AZ RUZ,10,507.374
50131926,LAPICERA SONIC SHADOW TRPL COMP AZ RUZ,10,388.5
50131927,MOCHILA POKEMON BAILE AZ AM RUZ,10,905.1
50131928,LONCHERA POKEMON BAILE AZ RUZ,10,500.7676031
50131929,LAPICERA POKEMON DOBLE COMP AZ AM RUZ,10,298.9939024
50131930,MOCHILA MINECRAFT VRD GRS ESPADIN RUZ,10,905.1
50131931,MOCHILA MINECRAFT VRD NGR CREEPER RUZ,10,905.1
50131932,LONCHERA MINECRAFT VRD NGR CREEPER RUZ,10,632.1
50131933,LAPICERA MINECRAFT TRPL COMP CREEPER RUZ,10,315
50131934,LIBRETA MANZANA RAY ECOLOG NOGAL DANPEX,10,451.5
50131935,LIBRETA MANZANA RAY ECOLOG MAPLE DANPEX,10,451.5
50131941,BOLIGRAFO BORRABLE 3PZ JEAN BOOK,10,109.872
50131944,CUADERNO KUROMI GRD 100H NORMA,10,125.286
50131945,CUADERNO KUROMI CHICO 100H NORMA,10,125.286
50131946,CUADERNO KUROMI RAY 100H NORMA,10,125.286
50131947,COLORES TRIANGULARES 28PZ NORMA,10,364.329
50131948,COLORES 12PZ C 2 NORMA,10,182.007
50131949,MARCADORES LAVABLES 12PZ NORMA,10,106.071
50131950,MARCADORES LAVABLES 24PZ NORMA,10,212.478
50131951,MARCADORES GIGANTES 10 PZ NORMA,10,141.54
50131952,LAPIZ TRIANG GIGANTE 3PZ NORMA,10,78.351
50131953,LAPIZ ADHESIVO 2PZ NORMA,10,76.083
50131955,PLUMONES ACRILICOS 8PZ NORMA,10,224.679
50131956,BOLIGRAFO CRISTAL ULTRAFIN 10PZ BIC,10,51.387
50131957,LAPICES PASTEL 8PZ C 1 LAPIZ BIC,10,49.749
50131958,COLORES INTENSITY PREM 12PZ BIC,10,115.122
50131959,COLORES INTENSITY PREM 24PZ BIC,10,225.645
50131960,COLORES INTENSITY PREM 36PZ BIC,10,331.569
50131961,MARCADOR METALICO 3PZ BIC,10,67.452
50131962,PLUMONES INTENSITY NGR PREM 12PZ BIC,10,112.959
50131965,SET 3 LIBRETAS GRD NGR HRAY MOLESKINE,10,542.01
50131966,SET 3 LIBRETAS XGD AZ HLISO MOLESKINE,10,672.357
50131967,SET 3 LIBRETAS XGD ROSA CINET HLISO MLSK,10,672.357
50131968,SET 3 LIBRETAS GRD ROJA HRAY MOLESKINE,10,542.01
50131969,LIBRETA SERP C ROSA HRAY 176 H MOLESK,10,889.602
50131970,LIBRETA SERPIENTE HRAY 176H MOLESKINE,10,889.602
50131972,LIBRETA VRD SKETCHBOOK LISO 60H MOLESK,10,867.867
50131973,LIBRETA ALBUM ACUARELA GRD LILA MOLESK,10,889.602
50131974,LIBRETA ALBUM ACUARELA GRD VERDE MOLESK,10,889.602
50131975,LIBRETA LILA SKETCHBOOK LISO 60H MOLESK,10,867.867
50131976,LIBRETA NY GRD H RAY MOLESKINE,10,889.602
50131977,LIBRETA ANGELES GRD H RAY MOLESKINE,10,889.602
50131978,CUADERNO PROF HAPPY 160H TILIBRA,10,190.617
50131979,CUADERNO PROF HAPPY COLORS 160H TILIBRA,10,211.785
50131980,CUADERNO PROF WEST VILLAGE 160H TILIBRA,10,190.617
50131981,CUADERNO PROF MAGIC 160H TILIBRA,10,190.617
50131982,CUADERNO PROF W VILL MT 80H TILIBRA,10,114.366
50131983,CUADERNO PROF KRAFT 80 TILIBRA,10,127.092
50131984,LAPIZ CARITAS 6PZ BARRILITO,10,114.408
50131992,CUADERNO ECOLOGICO 100H RAYADAS FIVESTAR,10,316.008
50132006,LONCHERA GLITTER SHINY HEART TOTTO,10,546.63
50132007,MOCHILA GLITTER SHINY HEART TOTTO,10,1094.268
50132008,LAPICERA GLITTER SHINY HEART TOTTO,10,447.069
50132009,LONCHERA SUSHI KUMI TOTTO,10,496.839
50132010,MOCHILA SUSHI KUMI TOTTO,10,994.686
50132011,LAPICERA SUSHI KUMI TOTTO,10,397.278
50132012,LONCHERA AZUL URBAN GRAPH TOTTO,10,496.839
50132013,MOCHILA AZUL URBAN GRAPH TOTTO,10,994.686
50132014,LAPICERA AZUL URBAN GRAPH TOTTO,10,397.278
50132015,LONCHERA FLORES GRAFILY TOTTO,10,496.839
50132016,MOCHILA FLORES GRAFILY TOTTO,10,994.686
50132017,LAPICERA FLORES GRAFILY TOTTO,10,397.278
50132018,LONCHERA ALIEN ALI TOTTO,10,496.839
50132019,MOCHILA ALIEN ALI TOTTO,10,994.686
50132020,LAPICERA ALIEN ALI TOTTO,10,397.278
50132021,LONCHERA GATOS KITTEN ROSE TOTTO,10,496.839
50132022,MOCHILA GATOS KITTEN ROSE TOTTO,10,994.686
50132023,LAPICERA GATOS KITTEN ROSE TOTTO,10,397.278
50132024,LONCHERA GRIS DIGITAL HILL TOTTO,10,496.839
50132025,MOCHILA GRIS DIGITAL HILL TOTTO,10,994.686
50132026,LAPICERA GRIS DIGITAL HILL TOTTO,10,397.278
50132027,LONCHERA FIGURAS OKUBO TOTTO,10,496.839
50132028,MOCHILA FIGURAS OKUBO TOTTO,10,994.686
50132029,LAPICERA FIGURAS OKUBO TOTTO,10,397.278
50132030,LONCHERA ROSA PASTEL KLASS TOTTO,10,646.212
50132031,MOCHILAROSA PASTEL KLASS TOTTO,10,1492.533
50132032,LAPICERA ROSA PASTEL KLASS TOTTO,10,347.487
50132033,LONCHERA NERGRA KLASS TOTTO,10,646.212
50132034,MOCHILA NEGRA KLASS TOTTO,10,1492.533
50132035,LAPICERA NEGRA KLASS TOTTO,10,347.487
50132036,LONCHERA AZUL KLASS TOTTO,10,646.212
50132037,MOCHILA AZUL KLASS TOTTO,10,1492.533
50132038,LAPICERA AZUL KLASS TOTTO,10,347.487
50132039,LONCHERA AZUL CIELO KLASS TOTTO,10,646.212
50132040,MOCHILA AZUL CIELO KLASS TOTTO,10,1492.533
50132041,LAPICERA AZUL CIELO KLASS TOTTO,10,347.487
50132042,MOCHILA AZUL TOCAX TOTTO,10,646.212
50132043,MOCHILA COLORES TOCAX TOTTO,10,646.212
50132044,MOCHILA ROSA TOCAX TOTTO,10,646.212
50132046,MOCHILA GRIS TOCAX TOTTO,10,646.212
50132048,MOCHILA ROSA CLOUD TOTTO,10,795.564
50132049,MOCHILA AZUL CLOUD TOTTO,10,795.564
50132054,MOCHILA AMARILLA TRIK M TOTTO,10,596.421
50132055,LAPICERA GRIS TRIK 2 TOTTO,10,247.926
50132056,MOCHILA GRIS TRIK M TOTTO,10,596.421
50132062,MOCHILA ROSA P TABLET INDO TOTTO,10,1492.533
50132064,MOCHILA VERDE P TABLET INDO TOTTO,10,1492.533
50132065,LAPICERA VERDE MARANON TOTTO,10,357.462
50132066,MOCHILA AZUL CIELO P TABLT INDO TOTTO,10,1492.533
50132067,LAPICERA AZUL CIELO MARANON TOTTO,10,357.462
50132068,LONCHERA NEGRA TRACER2 TOTTO,10,695.982
50132149,LIBRETA EJECUTIVA HRAY NEGRA CATS STUK,10,157.143
50132150,LIBRETA EJECUTIVA HRAY ROSA CATS STUK,10,157.143
50132151,LIBRETA EJECUTIVA HRAY VERDE CATS STUK,10,157.143
50132152,LIBRETA EJECUTIVA HRAY AQUA COLORS STUK,10,157.143
50132153,LIBRETA EJECUTIVA HRAY MORAD COLORS STUK,10,157.143
50132154,LONCHERA PRINCESAS CHENSON,10,650.643
50132155,LAPICERA PRINCESAS CHENSON,10,487.704
50132156,MOCHILA RUEDAS CHICA PRINCESAS CHENSON,10,1085.112
50132158,MOCHILA GRD STRONG PORT LAPTOP HAPPYGIRL,10,1085.112
50132159,LONCHERA STORNG HAPPY GIRL,10,650.643
50132160,LAPICERA GRANDE STRONG HAPPY GIRL,10,433.398
50132161,MOCHILA GRANDE CHESTER HAPPY GIRL,10,1085.112
50132162,LONCHERA CHESTER HAPPY GIRL,10,650.643
50132163,LAPICERA GRD 3 COMPART CHESTER HAPPYGIRL,10,487.704
50132165,MOCHILA GRANDE COWLI HAPPY GIRL,10,1085.112
50132166,LONCHERA COWLI HAPPY GIRL,10,650.643
50132167,LAPICERA 3 COMPART COWLI HAPPYGIRL,10,379.092
50132168,MOCHILA GRANDE DRAPO CHENSON,10,976.5
50132169,LONCHERA DRAPO,10,542.01
50132170,LAPICERA 2 COMPART CHENSON,10,433.398
50132171,LONCHERA GIPSY HAPPY GIRL,10,650.643
50132172,LAPICERA 3 COMPART GIPSY HAPPY GIRL,10,487.704
50132173,MOCHILA RUEDAS GRD GIPSY HAPPY GIRL,10,2171.337
50132174,MOCHILA GRD VANIA HAPPY GIRL,10,1085.112
50132175,LONCHERA VANIA HAPPY GIRL,10,650.643
50132176,LAPICERA VANIA HAPPY GIRL,10,542.01
50132178,LAPICERA 2 COMPART VANIA HAPPY GIRL,10,433.398
50132179,LONCHERA PRINCS CHENSON,10,650.643
50132180,LAPICERA PRINCESAS 3 COMPRT PRINCS CHENS,10,487.704
50132181,MOCHILA RUEDAS GRD PRINCS CHENSON,10,2171.337
50132182,MOCHILA EXTR GRD MARIO BROS RECER CHENSO,10,1193.745
50132183,LONCHERA MARIO BROS RACER CHENSON,10,650.643
50132184,LAPICERA 3 COMPART MARIO BROS CHENSON,10,487.704
50132185,MOCHILA GRANDE SAGAZ CHENSON,10,1193.745
50132186,LONCHERA SAGAZ CHENSON,10,650.643
50132187,LAPICERA 3 COMPART SAGAZ CHENSON,10,487.704
50132189,MOCHILA GRD MARIO BROS SPLOSHI CHENSON,10,1085.112
50132190,LONCHERA MARIO BROS SPLOSHI CHENSON,10,650.643
50132191,LAPICERA 3 COMPART MARIO BROS CHENSON,10,487.704
50132192,MOCHILA RUEDAS GRD MARIOBROS SPLOSHICHEN,10,2171.337
50132193,MOCHILA GRD HAPPY GIRL TARLAIT,10,976.5
50132194,LONCHERA HAPPY GIRL TARLAIT,10,542.01
50132195,LAPICERA 2 COMPART HAPPY GIRL,10,433.398
50132196,MOCHILA GRD VANIA VANI HAPPY GIRL,10,1193.745
50132197,LONCHERA VANIA VANI HAPPY GIRL,10,650.643
50132198,LAPICERA 2 COMPART VANIA VANI HAPPY GIRL,10,487.704
50132200,MOCHILA GRD DUVA HAPPY GIRL,10,1085.112
50132201,LONCHERA DUVA HAPPY GIRL,10,650.643
50132202,LAPICERA 3 COMPART HAPPY GIRL,10,487.704
50132203,LONCHERA MOANA CHENSON,10,650.643
50132204,LAPICERA 3 COMPART MOANA CHENSON,10,487.704
50132205,MOCHILA RUEDAS GRD MOANA CHENSON,10,2171.337
50132206,LONCHERA NEGRA 1818 CHENSON,10,650.643
50132208,MOCHILA RUEDAS AZUL CHEY CHENSON,10,1628.214
50132209,MOCHILA RUEDAS NEGRO CHEY CHENSON,10,1628.214
50132212,LAPICERA ROSA 2 COMPART ZILP 1818,10,324.786
50132214,LAPICERA LAVANDA 2 COMPART ZILP 1818,10,324.786
50132265,BOLIGRAFO SEMIGEL 10PZS SURT HANGSTICK,10,104.874
50132271,GOMA DE BORRAR PASTEL 2 PZ,10,16.779
50132272,GOMA DE BORRAR ANIMALES 2 PZ,10,36.372
50132288,SAMSONITE BANQUET BLACK ACCESSORIES,10,542.01
50132289,SAMSONITE BANQUET CARBON BLUE ACCESS,10,542.01
50132290,SAMSONITE ORYS BLACK ACCESSORIES,10,324.786
50132291,SAMSONITE ORYS CARBON BLUE ACCESSORIES,10,324.786
50132292,SAMSONITE ORYS ASPHALT GREY ACCESSORIES,10,324.786
50132293,SAMSONITE ORYS ARMY GREEN ACCESSORIES,10,324.786
50132294,SAMSONITE ORYS CRIMSON RED ACCESSORIES,10,324.786
50132295,SAMSONITE ORYS LAVENDER PURPLE ACCESS,10,324.786
50132296,SAMSONITE ORYS OLD PINK ACCESSORIES,10,324.786
50132303,MARCADOR PX-20 COLOR AZUL,10,82.74
50132304,MARCADOR PX-20 COLOR BLANCO,10,82.74
50132305,MARCADOR PX-20 COLOR NEGRO,10,82.74
50132306,MARCADOR PX-20 COLOR ROJO,10,82.74
50132307,MARCADOR PX-20 COLOR VERDE,10,82.74
50132308,MARCADOR PX-20 COLOR AMARILLO,10,82.74
50132312,DUAL POINT VIVEDEL COLORES 12X26,10,231.714
50132313,ERASNER 2 EN 1 BLIS C 1,10,18.375
50132314,CRAYON DE CERA BICOLOR 24 COL,10,105
50132315,CRAYONES GRIPPIE EST C6,10,123.375
50132319,12 PC COLOUR PENCIL 1 WATER BRUSH,10,165.375
50132320,12 PCS COLOUR PENCILS,10,165.375
50132321,25 PCS WATER COLOUR 2 PCS BRUSH,10,191.625
50132344,MOCHILA ARCOIRIS HOPPER 5XT XTREM,10,1193.745
50132345,MOCHILA FOOTBALL LOGAN 5XT XTREM,10,1085.112
50132346,MOCHILA GAMER GOMAN 5XT XTREM,10,1085.112
50132347,MOCHILA GATO LOGAN 5XT XTREM,10,1085.112
50132348,MOCHILA RUEDAS AZUL CROSS 2.0 5XT XTREM,10,2171.337
50132351,LONCHERA ROSA ORO NGR BAYSIDE5XT XTREM,10,759.255
50132352,LONCHERA LILA COOK XTREM,10,650.643
50132353,LONCHERA NEGRA NEO3.05XT XTREM,10,650.643
50132354,LONCHERA GATO LUNCH 2.05XT XTREM,10,607.194
50132355,LONCHERA NEGRA BREAK3.05XT XTREM,10,607.194
50132356,LONCHERA FOOTBALL BREAK 3.05XT XTREM,10,607.194
50132357,LAPICERA ARCOIRIS UNIVERSITY5XT XTREM,10,389.949
50132358,LAPICERA FOOTBALL UNIVERSITY5XT XTREM,10,389.949
50132359,LAPICERA ROMBOS NGR TRINITY5XT XTREM,10,324.786
50132360,LAPICERA AZUL NGR CAMPBELL5XT XTREM,10,324.786
50132361,LAPICERA GRIS CAMPBELL XTREM,10,324.786
50132362,LAPICERA LILA CAMPBELL 5XT XTREM,10,324.786
50132363,LAPICERA ETERNITY WEBSTER5XT XTREM,10,281.337
50132364,LAPICERA ROSA WEBSTER 5XT XTREM,10,281.337
50132414,MOCHILA XBOX NEGRO YADATEX,10,1006.068
50132416,MOCHILA DBZ NGR NRJ YADATEX,10,1006.068
50132417,MOCHILA BARBIE ROSA YADATEX,10,628.488
50132418,MOCHILA WILSON ROJO YADATEX,10,628.488
50132419,MOCHILA WILSON ROSA YADATEX,10,628.488
50132420,LONCHERA XBOX NEGRO YADATEX,10,438.48
50132421,LAPICERA XBOX NEGRO YADATEX,10,375.144
50132422,LONCHERA BARBIE ROSA YADATEX,10,375.144
50132423,LAPICERA BARBIE ROSA YADATEX,10,250.908
50132425,MOCHILA MIFFY BLANCA YADATEX,10,1006.068
50132426,MOCHILA MINSTER HIGH YADATEX,10,752.724
50132427,BP TODDLER ONE PIECE YADATEX,10,501.9
50132429,MOCHILA PEANUTS AZUL YADATEX,10,628.488
50132430,MOCHILA PUSHEEN ROSA YADATEX,10,628.488
50132431,MOCHILA PUSHEEN AZUL YADATEX,10,628.488
50132432,LONCHERA WILSON ROJO YADATEX,10,375.144
50132433,LOCNHERA WILSON ROSA YADATEX,10,375.144
50132434,LAPICERA WILSON ROJO YADATEX,10,250.908
50132435,LAPICERA WILSON ROSA YADATEX,10,250.908
50132436,LAPICERA WILZON AZUL YADATEZ,10,250.908
50132437,MOCHILA AMONG US ROJO YADATEX,10,1006.068
50132438,MOCHILA AMONG US AZUL YADATEX,10,1006.068
50132439,MOCHILA DBZ AZUL GRIS YADATEX,10,1256.976
50132440,LAPICERA BARBIE NEGRO YADATEX,10,375.144
50132441,MOCHILA KEEPACK NEGRO YADATEX,10,752.724
50132443,LONCHERA MIFFY BLANCA YADATEX,10,438.48
50132444,LAPICERA MIFFY BLANCA YADATEX,10,375.144
50132445,LAPCIERA MONSTER HIGH YADATEX,10,375.144
50132446,MOCHILA PEANUTS NEGRO YADATEX,10,628.488
50132447,LAPICERA PUSHEEN ROSA YADATEX,10,311.808
50132448,LONCHERA PUSHEEN AZUL YADATEX,10,375.144
50132449,LAPICERA WILSON NEGRO YADATEX,10,250.908
50132450,LONCHERA WILSON NEGRO YADATEX,10,375.144
50132451,LONCHERA AMONG US ROJO YADATEX,10,438.48
50132452,LAPICERA AMONG US ROJO YADATEX,10,375.144
50132453,LONCHERA AMONG US AZUL YADATEX,10,438.48
50132454,LAPICERA AMONG US AZUL YADATEX,10,375.144
50132457,MOCHILA KEEPACK MORADO YADATEX,10,752.724
50132458,MOCHILA MIFFY MANGENTA YADATEX,10,1006.068
50132459,MOCHILA ONE PIECE ROJO YADATEX,10,752.724
50132460,LAPICERA WILSON ROJO W YADATEX,10,250.908
50132461,MOCHILA DBZ NEGRO NARJ  YADATEX,10,1256.976
50132462,MOCHILA AMONG US AZ MAR YADATEX,10,1006.068
50132463,MOCHILA AVATAR AMARILLO YADATEX,10,1256.976
50132465,LAPICERA HALO AZUL GRIS YADATEX,10,375.144
50132466,MOCHILA HOT WHEELS ROJO YADATEX,10,1254.54
50132468,LONCHERA MIFFY MANGENTA YADATEX,10,438.48
50132469,LONCHERA POWERPUFF ROSA YADATEX,10,375.144
50132470,LAPICERA POWERPUFF ROSA YADATEX,10,375.144
50132471,LAPICERA WILSON NEGRO W YADATEX,10,250.908
50132472,LONCHERA DBSUPER AZ NARJ YADATEX,10,375.144
50132473,LAPICERA DBSUPER AZ NARJ YADATEX,10,250.908
50132474,LONCHERA AMONG US AZ MAR YADATEX,10,438.48
50132475,LAPICERA AMONG US AZ MAR YADATEX,10,375.144
50132476,MOCHILA BOB ESPONJA HAMB YADATEX,10,1006.068
50132477,MOCHILA LOGO BARBIE ROSA YADATEX,10,628.488
50132478,MOCHILA BARBIE UNICORNIO YADATEX,10,1006.068
50132479,LONCHERA HOT WHEELS ROJO YADATEX,10,438.48
50132480,LAPICERA HOT WHEELS ROJO YADATEX,10,375.144
50132481,MOCHILA ONE PIECE ROJ AZ YADATEX,10,742.98
50132482,MOCHILA PEANUTS AMARILLO YADATEX,10,1006.068
50132484,LAPICERA WILSON TURQUESA YADATEX,10,250.908
50132485,MOCHILA DBSUPER AZUL GOKU YADATEX,10,1006.068
50132486,MOCHILA DBSUPER 3 PERSONJ YADATEX,10,628.488
50132487,LONCHERA BOB ESPONJA HAMB YADATEX,10,438.48
50132488,LONCHERA LOGO BARBIE ROSA YADATEX,10,375.144
50132490,LONCHERA BARBIE UNICORNIO YADATEX,10,438.48
50132491,MOCHILA HOT WHEELS ROJ AZ YADATEX,10,1006.068
50132492,MOCHILA HOT WHEELS NGEGRO YADATEX,10,1254.54
50132494,MOCHILA PUSHEEN ROSA CAFE YADATEX,10,1006.068
50132495,MOCHILA PUSHEEN ROSA GATO YADATEX,10,1006.068
50132496,LONCHERA WILSON ROJO AZUL YADATEX,10,375.144
50132497,MOCHILA ESCOL DBSUPER GOKU YADATEX,10,501.9
50132498,LONCHERA DBSUPER AZUL GOKU YADATEX,10,438.48
50132499,LAPICERA DBSUPER AZUL GOKU YADATEX,10,250.908
50132500,LONCHERA DBSUPER 3 PERSONJ YADATEX,10,375.144
50132501,LAPICERA DBSUPER 3 PERSONJ YADATEX,10,250.908
50132502,MOCHILA AMONG US PERSONAJE YADATEX,10,628.488
50132503,MOCHILA BOB ESPONJA Y PATR YADATEX,10,628.488
50132504,MOCHILA CLUB AMERICA NEGRO YADATEX,10,628.488
50132506,LONCHERA PERANUTS AMARILLO YADATEX,10,375.144
50132507,LAPICERA PEANUTS AMARILLO YADATEX,10,375.144
50132509,LONCHERA PUSHEEN ROSA CAFE YADATEX,10,438.48
50132510,LAPICERA PUSHEEN ROSA CAFE YADATEX,10,250.908
50132511,LAPICERA PUSHEEN ROSA GATO YADATEX,10,250.908
50132512,MOCHILA DBZ NGR EDICION ESP YADATEX,10,1254.54
50132513,LONCHERA AMONG US PERSONAJE YADATEX,10,375.144
50132514,LAPICERA AMONG US PERSONAJE YADATEX,10,311.808
50132515,LONCHERA BOB ESPONJA Y PATR YADATEX,10,375.144
50132516,LAPICERA BOB ESPONJA Y PATR YADATEX,10,250.908
50132517,MOCHILA BARBIE NEGRO BRB058 YADATEX,10,1006.068
50132519,MOCHILA DRAGON BALL Z VERDE YADATEX,10,1256.976
50132520,MOCHILA PEANUTS AMAR PNT013 YADATEX,10,628.488
50132521,MOCHILA PEANUTS AMAR PNT030 YADATEX,10,1006.068
50132522,MOCHILA AMONG US ROJO 4 PERS YADATEX,10,1006.068
50132523,MOCHILA BOB ESPONJA AMARILLO YADATEX,10,499.38
50132524,MOCHILA BARBIE ROSA BRILLOS YADATEX,10,628.488
50132525,LONCHERA BARBIE ROSA BRILLOS YADATEX,10,375.144
50132526,LAPICERA BARBIE ROSA BRILLOS YADATEX,10,250.908
50132528,MOCHILA DRAGON BALL Z AZ CAF YADATEX,10,1256.976
50132529,MOCHILA POWERPUFF GIRLS ROSA YADATEX,10,1006.068
50132530,LAPICERA XBOX NEGRO CONTROL YADATEX,10,372.708
50132531,MOCHILA LONCHERA LAPICERA AMIGAS BARB,10,1208.256
50132532,LONCHERA AMONG US ROJO 4 PERS YADATEX,10,438.48
50132533,LAPICERA AMONG US ROJO 4 PERS YADATEX,10,375.144
50132534,LONCHERA BOB ESPONJA AMARILLO YADATEX,10,375.144
50132535,LAPICERA BOB ESPONJA AMARILLO YADATEX,10,250.908
50132536,MOCHILA CLUB AMERICA AMARILLO YADATEX,10,499.38
50132537,MOCHILA DRAGON BALL SUPERAZUL YADATEX,10,1006.068
50132538,LAPICERA DRAGON BALL Z AZ CAF YADATEX,10,375.144
50132539,MOCHILA DRAGON BALL Z NRJ NGR YADATEX,10,1254.54
50132540,MOCHILA HOT WHEELS MULTICOLOR YADATEX,10,628.488
50132541,LAPICERA BARBIE ROSA UNICORNIO YADATEX,10,375.144
50132542,LONCHERA BARBIE UNICORNIO ROSA YADATEX,10,438.48
50132543,LAPCIERA BARBIE UNICRONIO ROSA YADATEX,10,375.144
50132544,MOCHILA DRAGON BALL SUPER  NGR YADATEX,10,1254.54
50132545,LAPICERA DRAGON BALLSUPER AZUL YADATEX,10,375.144
50132546,LAPICERA DRAGON BALL Z NGR NRJ YADATEX,10,375.144
50132547,LAPICERA DRAGON BALL Z NRJ NGR YADATEX,10,375.144
50132548,MOCHILA RUEDAS HOT WHEELS ROJO YADATEX,10,1485.96
50132549,LONCHERA HOT WHEELS MULTICOLOR YADATEX,10,375.144
50132550,LAPICERA HOT WHEELS MULTICOLOR YADATEX,10,250.908
50132551,MOCHILA ESCOL BARBIE UNICORNROS YADATEX,10,501.9
50132552,MOCHILA BOBESPNJ CALAMARDO GUAP YADATEX,10,1006.068
50132553,MOCHILA DRAGON BALL SUPER VERDE YADATEX,10,742.98
50132554,LONCHERA DRAGON BALL SUPER AZUL YADATEX,10,438.48
50132555,LONCHERA  BOB ESPONJ HAMBURGUESA YADATEX,10,438.48
50132556,SET MOCHILA LONCHERA LAPICERA RJ AMONGUS,10,1208.256
50132557,MOCHILA DRAGON BALL SUPERAZ NARJ YADATEX,10,742.98
50132558,MOCHILA DRAGON BALL Z AMRI BLANC YADATEX,10,1256.976
50132559,MOCHILA DRAGON BALL Z NEGRO LISO YADATEX,10,1256.976
50132561,LAPICERA BETYBETO PRINC CORAZON FOTORAMA,10,367.878
50132562,LONCHERA BETYBETO PRINC CORAZON FOTORAMA,10,597.345
50132563,MOCHILA BETYBETO PRINC CORAZON FOTORAMA,10,967.113
50132564,MOCHILA BETYBETO PRINC CORAZON FOTORAMA,10,798.336
